rxnID,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
DM_2obut_c,0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491928
DM_4HBA,0.9995767725353174,0.9999999999999992,0.9997941213733684,0.9996763020749032,0.9999999999999996
DM_5DRIB,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
DM_5MTR,0.1254699523946332,0.04180741564996179,0.0406095591030025,0.1574952254556046,0.8829254597351549
DM_AMOB,0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491928
DM_HQN,0.9820638054018651,0.2094940984779236,0.9913174648422651,0.6217104198362086,0.9674500491320009
DM_NA1,0.0001853550940213,0.0,8.31432915241353e-05,0.0,0.0
DM_atp_c_,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
DM_btn,0.8880486124626583,0.1824404880181215,0.9646641011022423,0.5175282426439645,0.9028765616957557
DM_dad_5,0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491928
DM_dhptd(c),0.9995767725353174,0.9999999999999992,0.9997941213733684,0.9996763020749032,0.9999999999999996
DM_hcys_L_c,0.39847020262401,0.9871934983904935,0.3246389205625234,0.9118570549962772,0.9484055495765286
DM_kdo2lipid4L(c),0.9873062653111027,0.9966816357350072,0.9943502153807167,0.9884439840740618,0.9783058818024422
DM_q8h2_c,0.39891505484966133,0.987749870842109,0.32513778031166823,0.9215032531641469,0.9484815871976039
DM_teich_45_BS(c),0.3982323302533493,0.9871438222787422,0.32451618522741643,0.9076489819700253,0.9484055495765286
DOGDH,0.000682724596312,0.0005563724516154,0.0006215950842518,0.009969896092966,7.603762107528894e-05
DOGULNR,0.8793523693014892,0.1816655406748001,0.9606415494742176,0.5057294532742044,0.902677694071405
DPCOAK,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
DPCOAt,0.1190103273679883,0.8202519572388026,0.0381706892182944,0.4992393098760234,0.86979434748023
DPMVDc,0.387364343240563,0.1949688034018199,0.31925044343088793,0.5443628006344478,0.9352100977960786
DPRr,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
DRBK,0.9988940479390055,0.9994436275483839,0.9991725262891167,0.9897064059819372,0.9999239623789242
DRIBI,0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491928
DRIBabc,0.9991319203096662,0.9994436275483839,0.9992952616242237,0.9900301039070335,0.9999239623789242
DRPAr,0.9870683929404419,0.9966816357350072,0.9942274800456097,0.9881202861489654,0.9783058818024422
DSERt2r,0.2733586034111516,0.1618547073083495,0.2839897694159382,0.4076489819700256,0.0762715829862898
DTMPK,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
DTMPt,0.0,4.967611175138099e-05,0.0,0.0038843751011556,0.0
DTTPti,0.0304353064383089,0.7982355045105907,0.0136671734448243,0.3954941248826592,0.8075604791539935
DURAD,0.2740413280074636,0.1624110797599649,0.28461136450019,0.4176188780629916,0.0763476206073651
DURAD2,0.289657494678764,0.9542284306322772,0.29148454326618506,0.7870229501828891,0.8812935754059238
DURADi,0.015616166671300401,0.7918173508723124,0.0068731787659951004,0.3694040721198976,0.8049459547985587
DURIK1,0.8873658878663463,0.1819337916782575,0.9640425060179905,0.5114427216521539,0.9028005240746804
DURIPP,0.987491620405124,0.9966816357350072,0.9944333586722408,0.9884439840740618,0.9783058818024422
DURIt,0.0043218629422649,0.7865814886937169,0.0022884201190928,0.3525555951186352,0.0107797950493659
DURIt2,0.0043218629422649,0.7865814886937169,0.0022884201190928,0.3525555951186352,0.0107797950493659
DUTPDP,0.9999999999999994,0.9999999999999992,0.9999999999999996,0.9999999999999996,0.9999999999999996
DXPRIi,0.11832760277167631,0.8196459086754359,0.037549094134042595,0.4853850386819018,0.8697183098591547
DXPRIr,0.8816723972283232,0.18035409132456337,0.9624509058659569,0.5146149613180976,0.1302816901408449
