metID,metName,metFormula,metComp
panBacteroides_pectinophilus_1agpe181_c,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P1,c
panBacteroides_pectinophilus_1agpg120_c,1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P1,c
panBacteroides_pectinophilus_1agpg140_c,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),C20H40O9P1,c
panBacteroides_pectinophilus_1agpg141_c,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C20H38O9P1,c
panBacteroides_pectinophilus_1agpg160_c,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),C22H44O9P1,c
panBacteroides_pectinophilus_1agpg161_c,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P1,c
panBacteroides_pectinophilus_1agpg180_c,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P1,c
panBacteroides_pectinophilus_1agpg181_c,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P1,c
panBacteroides_pectinophilus_1aihpdecg3p_c,"1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)",C20H39O7P,c
panBacteroides_pectinophilus_1aipdecg3p_c,"1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)",C18H36O7P,c
panBacteroides_pectinophilus_1ddecg3p_c,1-acyl-sn-glycerol 3-phosphate(2-),C15H29O7P1,c
panBacteroides_pectinophilus_1hdec9eg3p_c,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H35O7P1,c
panBacteroides_pectinophilus_1hdecg3p_c,1-hexadecanoyl-sn-glycerol 3-phosphate,C19H37O7P1,c
panBacteroides_pectinophilus_1ihdecg3p_c,"1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)",C19H38O7P,c
panBacteroides_pectinophilus_1ihpdecg3p_c,"1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)",C20H39O7P,c
panBacteroides_pectinophilus_1ipdecg3p_c,"1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)",C18H36O7P,c
panBacteroides_pectinophilus_1itdecg3p_c,"1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)",C17H34O7P,c
panBacteroides_pectinophilus_1odec11eg3p_c,1-octadec-11-enoyl-sn-glycerol 3-phosphate,C21H39O7P1,c
panBacteroides_pectinophilus_1odecg3p_c,1-octadecanoyl-sn-glycerol 3-phosphate,C21H41O7P1,c
panBacteroides_pectinophilus_1pyr5c_c,1-Pyrroline-5-carboxylate,C5H6NO2,c
panBacteroides_pectinophilus_1tdec7eg3p_c,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H31O7P1,c
panBacteroides_pectinophilus_1tdecg3p_c,1-tetradecanoyl-sn-glycerol 3-phosphate,C17H33O7P1,c
panBacteroides_pectinophilus_23camp_c,"2,3-Cyclic AMP",C10H11N5O6P,c
panBacteroides_pectinophilus_23ccmp_c,"2,3-Cyclic CMP",C9H11N3O7P,c
panBacteroides_pectinophilus_23cgmp_c,"2,3-Cyclic GMP",C10H11N5O7P,c
panBacteroides_pectinophilus_23cump_c,"2,3-cyclic UMP(1-)",C9H10N2O8P,c
panBacteroides_pectinophilus_23dhdp_c,"2,3-Dihydrodipicolinate",C7H5NO4,c
panBacteroides_pectinophilus_23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,c
panBacteroides_pectinophilus_23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4,c
panBacteroides_pectinophilus_25aics_c,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H15N4O12P,c
panBacteroides_pectinophilus_26dap_LL_c,"LL-2,6-Diaminoheptanedioate",C7H14N2O4,c
panBacteroides_pectinophilus_26dap_M_c,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,c
panBacteroides_pectinophilus_26dap_M_u,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,u
panBacteroides_pectinophilus_2agpe120_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P1,c
panBacteroides_pectinophilus_2agpe140_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),C19H40NO7P1,c
panBacteroides_pectinophilus_2agpe141_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P1,c
panBacteroides_pectinophilus_2agpe160_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),C21H44NO7P1,c
